OPERACIÓN MÉCANICA,TOP BOY,AGILITY,AGILITY RS,AGILITY CITY 150,BET & WIN,ACTIV,"SPIKE
",AGILITY RS  NAKED  ,SUPER 8,GACELA,CRUCERO             x-town 300,ROCKET,FLY 125,TWIST,JETIX,UNI-K 110,TRACK,PULSAR 135,Perseo,PULSAR,PULSAR 180 UG,PULSAR 150  ,THOR 160,PULSAR 200  ,PULSAR 150 NS ,PULSAR 150 AS,PULSAR 200 AS ,PULSAR 200 NS ,TITAN,PULSAR  RS 200,PULSAR 220,AVENGER 220,XCD ,DISCOVER 100,DISCOVER 135,"
BOXER",LEXUS,DISCOVER 100 5S,DISCOVER 150,CHAMPION,DISCOVER 125 ST,"
BOXER BM 100",BOXER BM 150,BOXER BM 100 ES ,PLATINO 125,PLATINO 125 - 5S,"
 PLATINO 100",PLATINO 110,FAMILLY,"MOTOCARRO
4T",TORITO,"MOTOCARRO
DIESEL"," KAZE
MAX II",ZX 130- MAGIC II,KMX,KLX 150,KLX150  L,KLX 250,NINJA 250,NINJA 250 FI,Z250,Z250 SL,ER-6n,TRANS-SPORT,MRX 150,FURAX,BOMBER 125,BOMBER 250,COMBAT 125,ZS,LIFE,HUNTER,BLACK,VENOM 400,VENOM 250,ONE,FLOW,ADVANCE II LF,ZONTES 155,ZONTES 310M,SHOCK,TNT150i,180S,TNT25N,LEONCINO 500,LEONCINO 250,TRK 500X,TRK 251,302 S
CAMBIO PLATO SOPORTE DESLIZADORES,,,,,,2.0,2.0,,,,,,,,2,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2.0,2.0,2.0,,,2.0,,,,,,,,
CAMBIO DE CLUTCH DE ARRANQUE ,1.6,2.5,2.5,2.5,2.8,1.2,1.2,2.5,2.5,2.5,3,2.5,2.5,2.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.2,1.2,1.2,1.2,1.2,,,1.2,1.2,1.2,1.2,,1.2,1.2,1.2,1.2,,1.2,1.2,,,,,1.5,,1.2,1.2,1.5,1.8,1.8,1.5,1.5,1.5,1.3,1.2,1.3,1.5,1,1.5,2.5,2.5,2.5,2.5,1.5,1.2,1.2,1.2,1.2,1.5,2.5,1.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO RETENEDOR PLATO BASE DEL ARRANQUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO EMPAQUE TAPA VOLANTE,,,,,2.5,0.6,0.6,,,,,,,,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,0.8,0.8,0.4,0.4,0.4,0.5,1,1,1,1,1,0.8,0.4,0.8,0.5,0.6,0.5,,,,,0.7,0.5,0.6,0.7,0.6,1,,0.6,1,1,1,1,1,1,1,1
CAMBIO DE RODAMIENTO O BUJE DE CLUTCH DEL ARRANQUE,,,,,,1.2,1.2,,,,,,,,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,,,,1.2,1.2,1.4,1.4,1.2,,,1.2,1.2,1.2,1.2,,1.4,1.4,1.4,1.4,,1.4,,,,,,,,1.4,1.4,1.3,,1.5,1.5,1.5,2,0.8,1.2,0.8,1,1,1,,,,,,,1.2,1.2,1.2,1.5,,1.2,1.5,1.5,1.5,2,1.5,2,1.5,1.5
CAMBIO BASE PIÑON DE ARRANQUE,,,,,,,,,,,,,,,,,,1.8,1.8,1.8,1.8,1.8,1.8,1.8,,,,,,,1.8,1.8,,,,,,1.8,1.8,1.8,1.8,,,,,,,,,,,,,,,,,,,,,,,1.8,,,,1.5,,,,,,,,,,,,,,,,,,,,,
CAMBIO Y/O REPARACION DE LOS ROLEX,1,1,1,1,1,,,1,1,1,1,1,1,1,,1.2,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,,,,,1,1,1,1,,,1.2,,,,1,,,,,,,,,
SISTEMA DE REFRIGERACIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO RADIADOR Y/O LIMPIEZA DEL SISTEMA,,,,,2,,,,,,,,,,,,,,,,,,1,2,,,2,2,2.5,2.5,1,1,,,,,,,,,,,,,,,,,,,1,,,,1,,,2,2,2,2,2,1.5,,,,,,,,,,,1.5,2,,,,1.4,2,,1.4,1.6,2,1.5,2,1.5,2,2
CAMBIO  VENTILADOR O EXTRACTOR ,,,,,1.5,,,,,,,,,,,,,,,,,,,1.5,,,1.5,1.5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,1.5,2,2,2,1.2,,,,,,,,,,,1,1.5,,,,,2,,,1.2,2,1.2,2,1.2,2,1.4
CAMBIO LIQUIDO REFRIGERANTE,,,,,0.7,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,0.5,0.5,0.5,0.5,,,,,,,,,,,0.8,0.5,,,,,1.5,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO SELLO MECÁNICO,,,,,3,,,,,,,,,,,,,,,,,,,7.5,,,1,1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,1.5,1,,,,1.5,2,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO RECIPIENTE DE REFRIGERANTE,,,,,1.5,,,,,,,,,,,,,,,,,,,0.5,,,0.3,0.3,0.8,0.8,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,0.5,0.5,0.5,0.5,0.5,0.3,,,,,,,,,,,0.8,0.3,,,,1,2,,,,0.8,0.3,0.8,0.3,0.8,0.8
CAMBIO EMPAQUE DE  LA TAPA DE LA BOMBA DE REFRIGERANTE O IMPELLER,,,,,0.7,,,,,,,,,,,,,,,,,,,0.8,,,0.8,0.8,0.9,0.9,,,,,,,,,,,,,,,,,,,,,,,,,0.7,,,0.7,0.8,0.8,0.7,0.7,0.7,,,,,,,,,,,0.8,0.8,,,,0.7,2,,0.7,0.7,0.8,0.7,0.7,0.7,0.7,0.8
CAMBIO SENSOR PRESION ACEITE,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,1,,,,0.5,2,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO TERMOSTATO,,,,,1,,,,,,,,,,,,,,,,,,,1.5,,,1,1,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,0.7,0.8,0.8,0.8,0.8,1.5,,,,,,,,,,,1,1,,,,0.8,2.5,,0.8,0.8,0.8,1.5,0.8,1.5,0.8,0.8
CAMBIO CORAZA DE REFRIGERACION DE CILINDRO. CULATA Y/O BUJIA,0.8,1.2,1.2,1.2,,,,1.2,1.2,1.2,,1.2,1.2,1.2,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,1.2,1.2,1.5,1.5,,,,,,,1.5,,,,,,,,,
CAMBIO SENSOR DE TEMPERATURA,,,,,0.7,,,,,,,,,,,,,0.2,0.2,,0.2,0.2,0.2,1.5,1,1.5,1.5,1,1.5,1.5,0.2,,0.2,0.2,,,,0.2,0.2,0.2,0.2,,,,0.2,,,,,,,,,,0.5,,,0.6,0.6,0.8,0.8,0.7,1,,,,,,,,,,1,0.5,1,,,,0.8,1,,0.8,0.8,0.8,1,0.8,1,0.8,0.8
CAMBIO VENTILADOR VOLANTE,0.4,0.4,0.4,0.4,,,,0.4,0.4,0.4,,0.4,0.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.8,,,,,,,,,,,,,,,,,,,0.4,0.4,0.4,0.4,,,,,,,0.4,,,,,,,,,
CAMBIO Y/O REVISION DEL SENSOR DEL MOTOR VENTILADOR,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.3,1.3,1.3,1.3,1,,,,,,,,,,,0.5,,,,,1.3,1,,1.3,1.3,1.3,1,1,1,1,1.3
CAMBIO MANGUERAS DEL RADIADOR,,,,,1.7,,,,,,,,,,,,,,,,,,0.4,1,,,1,1,1.5,1.5,0.4,0.4,,,,,,,,,,,,,,,,,,,1,,,,1,,,1,1,1,1,1,1,,,,,,,,,,,1.5,1,,,,1,2.5,,1,1,1,1,1,1,1,1
CAMBIO BOMBA DE AGUA O IMPELLER,,,,,3,,,,,,,,,,,,,,,,,,,1,,,1,1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1,1,1,1,1,0.7,,,,,,,,,,,1.5,1,,,,1,2,,1,1,1,0.7,1,0.7,1,1
CAMBIO RODAMIENTO EJE BOMBA,,,,,3,,,,,,,,,,,,,,,,,,,7.5,,,7.5,7.5,8.5,8.5,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,1.3,1.5,1.5,1.5,1.5,1.5,,,,,,,,,,,1.5,7.5,,,,1.5,2.2,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CONJUNTO DE ARRASTRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CADENA O BANDA DE TRACCION C/U,0.8,1.0,1.0,1.0,1.0,0.4,0.4,1.0,1,1,1,1,1.0,1.0,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,,,0.4,0.4,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.4,0.4,0.4,1,1,1,1,,0.4,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.4,1,0.4,1,0.4,0.4
CAMBIO PIÑÓN DE SALIDA (C/U),,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.7,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.4,,,,,0.7,0.4,0.4,0.4,0.4,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CAMBIO SPROCKET ,,,,,,0.7,0.7,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,,,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,,,,,0.8,0.7,0.7,0.7,0.7,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO CAUCHOS PORTA SPROCKET,,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,0.4,0.4,,,,,0.5,0.5,0.5,,0.5,0.4,,,0.5,0.6,0.5,,,,,0.6,0.4,0.4,0.4,0.4,0.5,,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
CAMBIO DE GUARDACADENAS,,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,,,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.1,0.3,,,,,0.5,0.3,0.3,0.2,0.2,0.3,,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO DE TENSORES CADENA (C/U),,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.6,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,,,,,0.3,0.2,0.4,0.4,0.4,0.4,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
CAMBIO DE KIT DE ARRASTRE,,,,,,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,,0.7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1.5,1,1,1,1,1.4,,1,1.4,1.4,1.4,1,1.4,1,1.4,1.4
CAMBIO DE TORNILLOS SUJETADORES SPROCKET,,,,,,0.7,0.7,,,,,,,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.4,0.4,0.4,0.4,0.4,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,,0.7,0.4,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,,,,,0.7,0.4,0.7,0.7,0.7,0.7,,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO DE BUJES SUJETADORES TORNILLOS SPROCKET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,,,,,,,0.7,,,,,,,,,,,,,,,
CAMBIO BUJE PORTA SPROCKET,,,,,,0.5,0.5,,,,,,,,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,,,,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,,0.5,0.5,0.4,0.5,0.5,0.5,,,,,0.5,0.5,0.5,0.5,0.5,0.5,,0.5,0.5,0.5,0.5,0.8,0.5,0.8,0.5,0.5
CAMBIO DE EMPATE DE CADENA,,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.03,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,,0.3,,,,,,0.2,0.3,0.2,0.2,0.3,,0.2,0.3,0.3,0.3,,0.3,,0.3,0.3
CONJUNTO CHASIS Y SUSPENSIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO DE CHASIS,8,8,8,8,10,8,8,8,8,8,11,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9.3,9.3,9,10,10,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,15,15,12,8,8,9.0,8,8,9,10,10,10,10,12,8,8,8,8,10,8,8,8,9,10,10,9,8,8,8,10,12,8,10,10,10,11,10,12,10,10
CAMBIO CUNAS DE DIRECCIÓN,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,,2.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5,2.5,2.5,2.5,2.5,3.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5
AJUSTE DE CUNAS,0.7,0.7,0.6,0.6,1,0.7,0.7,0.6,0.6,0.6,1.5,0.6,0.7,0.7,0.7,0.7,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,,0.7,0.7,0.3,0.3,0.3,0.3,1,1,0.7,0.7,0.7,0.7,0.3,0.5,0.5,0.5,0.5,0.7,7,1,1.5,0.5,0.3,0.7,0.7,0.7,0.7,1.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
CAMBIO DE BARRAS O BOTELLAS C/U,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1.2,1.2,1.2,1.5,1.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,0.7,1.2,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1
CAMBIO BUJES DE MOTOR,2,2,2,2,2,,,2,2,2,2,2,2,2,,,,,,1,1,1,1,,,,,,,,1,1,1,1,1,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,2,,,,2,2,2,2,,,,,,,2,,,,,,,,,
CAMBIO CANASTILLAS DE AGUJAS Y/O BUJES DE SUSPENSION TRASER  (C/U),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,2.0,2.0,2.0,2.3,,,,,,,,1,,1.5,,,,,,2.0,,,,,,,,,,,,,,,
CAMBIO HORQUILLA INFERIOR,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,4,2.5,2.5,2.5,2.5,3,3,4,3,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,3,,2.5,3.0,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,2.5,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,3,2.5,2.5
CAMBIO RETENEDOR BARRAS C/U,1,1,1,1,1.2,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.3,1.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,1,1.2,1,1,1,1.5,1,1,1,1,1,1,1,1,1,1.5,1,1,1,1.2,1.2,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1
CAMBIO AMORTIGUADOR TRASERO (C/U),0.7,0.7,0.7,0.7,0.3,0.7,1,0.7,0.7,0.7,1,0.7,0.7,0.7,1,0.7,0.7,0.3,0.3,0.3,0.3,0.3,0.5,0.7,0.5,0.5,0.5,0.5,1,1,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,1,1,,0.5,1,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.4,0.7,0.8,0.3,1,0.3,0.5,0.7,1,1,0.7,0.5,0.7,0.7,0.7,0.8,1,0.7,0.8,0.8,0.8,0.6,0.8,0.6,0.8,1
CAMBIO TIJERA ( BRAZO OSCILANTE ),,,,,1,1.5,1.5,,,,,,,,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,3,3,,1.7,1.5,2,2,2,2,1.5,1.5,1.5,1.5,2,1.7,2,1.7,1.5,1.5,1.5,,,,,1.5,1.5,1.5,1.5,1.5,1.5,,1.5,1.5,1.5,1.5,2,1.5,2.5,1.5,1.5
CAMBIO REPOSAPIÉS DELANTERO O TRASERO C/U,0.3,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.21,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.3,0.3,0.5,0.3,,,,,0.3,0.2,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
CAMBIO  ACEITE BARRAS C/U,1.5,0.8,0.8,1,1,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1.1,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,,0.8,1,1,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,1,1,0.7,0.8,0.8,0.8,0.8,0.8,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
CAMBIO  PARRILLA O SUJETADORES,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.5,0.5,0.5,0.2,0.2,0.2,0.2,0.2,0.2,,0.2,0.2,0.2,0.5,,,,,,,,0.2,0.3,0.5,0.3,0.2,,0.2,0.2,0.2,0.2,0.23,0.5,0.2,0.2,0.2,0.2,,0.23,0.2,0.2,,0.2,0.2,0.2,0.2,0.2,0.2
CAMBIO GATO CENTRAL,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.3,0.3,,,,,,,,,,0.5,,,0.3,,0.3,0.3,0.3,0.3,0.3,,0.4,0.3,0.3,0.3,,0.3,0.3,0.3,,,,,,,
CAMBIO GATO LATERAL,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.2,0.2,0.5,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
CAMBIO BASE REPOSAPIE TRASERO c/u,,,,,,0.3,0.3,,,,,,,,0.3,0.3,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,,,,0.3,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,,0.3,0.3,0.3,,0.3,0.1,0.3,,,,,0.3,0.5,0.3,0.3,0.3,0.3,,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
ENGRASADA BUJE TIJERA (C/TIJERA),,,,,,0.4,0.4,,,,,,,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,3,3,,0.4,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,0.4,0.3,1.5,0.4,0.5,0.4,,,,,1.5,0.4,0.4,0.4,0.4,1.5,,0.4,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
CAMBIO TIJERA ( MOTOCARRO PASAJERO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO TIJERA ( MOTOCARRO CARGUERO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO CABINA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO PLATON (CARGUERO),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAMBIO BASE FAROLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,1.0,0.7,0.5,0.5,0.5,,,,,,,0.5,0.3,,0.5,,,,,,,,,,,,,,,,,,,,,
